_id,name,email,password,covid,vaccine,picture
60647a58fec8352078a3bf6e,Abhiroop Basak,abhiroop1.bas@gmail.com,abhiroop,Negative,No,media/profile_Abhiroop Basak.png
60647acdfec8352078a3bf70,Abhiroop Basak,abhiroop1.bas@gmail.com,abhiroop,Negative,No,media/profile_Abhiroop Basak.png
60647b80791f602ebd956367,Abhiroop,AbhiroopSucks@gmail.com,AbhiroopSucks,Positive,No,profile_sample.png
60647bd8791f602ebd956369,Basak,Basaksarees@gmail.com,2441139,Positive,Yes,profile_sample.png
60647c2c791f602ebd95636b,Sonu,SonuNigam@gmail.com,sonuNigaM,Negative,Yes,profile_sample.png
606489464af185ca7294d0d7,Pamela,Pamela@yahoo.in,Pammy,Negative,No,profile_sample.png
606489704af185ca7294d0d9,Monu,Monu@rediffmail.com,oppo,Positive,No,profile_sample.png
606489a24af185ca7294d0db,Tatiana,tati_ANA@gmail.com,anatiana,Negative,No,profile_sample.png
606489cf4af185ca7294d0dd,Lizzie,Lizzie@gmail.com,eight,Negative,Yes,profile_sample.png
606489e94af185ca7294d0df,Nina,Nina@yahoo.com,nina,Not Tested,No,profile_sample.png
60648a094af185ca7294d0e1,Yasmine,Yasmine@yahoo.com,yassy,Not Tested,No,profile_sample.png
60648a244af185ca7294d0e4,Soumyadeep Pal,palsoumyadeep87@gmail.com,harry potter,Negative,No,profile_sample.png
60648ab74af185ca7294d0e6,Taylor,Swift@yahoo.in,taytay,Positive,Yes,profile_sample.png
60648ad24af185ca7294d0e8,Joe Alywn,Alywn@gmail.com,taylor,Negative,Yes,profile_sample.png
60648aeb4af185ca7294d0ea,Betty,Elizabeth@yahoo.in,taylorswift,Not Tested,No,profile_sample.png
60648b074af185ca7294d0ec,Marjorie,Marjorie@gmail.com,may,Negative,Yes,profile_sample.png
60648b784af185ca7294d0ee,Goldie,Gold@gmail.in,goldie,Negative,No,profile_sample.png
60648ba84af185ca7294d0f0,Raymond Holt,Holt_Captain@yahoo.com,kevin,Negative,Yes,profile_sample.png
60648bcd4af185ca7294d0f2,Kevin,Kevin_PHD@rediffmail.com,holt,Positive,Yes,profile_sample.png
60648c1c4af185ca7294d0f4,Amy Santiago,Santiago_Amy@gmail.com,Jacob,Negative,Yes,profile_sample.png
60648c384af185ca7294d0f6,Jacob Peralta,Peralta_rocks@yahoo.com,Amy,Not Tested,No,profile_sample.png
60648c574af185ca7294d0f8,Charles Boyle,Boyle@gmail.com,gen,Negative,No,profile_sample.png
60648c724af185ca7294d0fa,Nikolaj Boyle,Niko@yahoo.in,dad,Not Tested,No,profile_sample.png
60648d024af185ca7294d0fc,Lola,Delores@gmail.com,lolapretty,Negative,Yes,profile_sample.png
60648d244af185ca7294d0fe,Inej Kafka,Inej@yahoo.in,inej,Not Tested,No,profile_sample.png
60648d414af185ca7294d100,Kaz Brekker,Kaz@grisha.com,grisha,Negative,No,profile_sample.png
60648d8d4af185ca7294d102,Diana Spencer,Princess@yahoo.in,princess,Negative,Yes,profile_sample.png
60648da44af185ca7294d104,Elizabeth,Queen@gmail.com,queen,Positive,Yes,profile_sample.png
60648dcd4af185ca7294d106,Sara,sar_a@gmail.com,saraaaaaa,Not Tested,No,profile_sample.png
60648df64af185ca7294d108,Veronica Lodge,Ver_onica@gmail.com,betty,Positive,No,profile_sample.png
60648e184af185ca7294d10a,Elizabeth Cooper,Cooper@yahoo.in,cooper,Negative,Yes,profile_sample.png
60648e3a4af185ca7294d10c,Polly Cooper,polly@rediffmail.com,polly,Not Tested,No,profile_sample.png
60648e594af185ca7294d10e,Alice Cooper,Alice_Smith@gmail.com,smith,Negative,Yes,profile_sample.png
60648edd4af185ca7294d110,Jughead Jones,Jones@yahoo.com,betty,Not Tested,Yes,profile_sample.png
60648efb4af185ca7294d112,Archibald Andrews,Archie69@gmail.com,69,Not Tested,Yes,profile_sample.png
60648f164af185ca7294d114,Fred Andrews,Freddie@yahoo.in,fred121,Negative,No,profile_sample.png
